Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Other,Urban,<0.25,Cal Fire,17000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Vegetation,Urban,<3 meters of linear travel,Cal Fire,12000,Fault Tamer,Overhead,Y,Equipment - PG&E,Fault Tamer Failure,,,,,,,
Other,Desert Shrub,<0.25,Unknown,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Crossarm failure,,,,,,,
Vegetation,Herbaceous,Oct-99,Cal Fire,70000,Jumper,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,12000,Riser,Overhead,Y,Equipment - PG&E,Riser Failure,,,,,,,
Vegetation,Herbaceous,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Other,Hardwood Woodland,<3 meters of linear travel,Cal Fire,12000,Transformer,Padmounted,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Urban,0.26-9.99,Fire Agency,12000,Switch,Overhead,Y,Equipment - PG&E,Switch failure,,,,,,,
Other,Herbaceous,0.26-9.99,Fire Agency,12000,Automatic Wire Splice,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,Other,,,,,
Vegetation,Urban,<0.25,Customer,0-750,Conductor - Racked Secondary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Herbaceous,0.26-9.99,Cal Fire,12000,Fuse,Overhead,Y,Equipment - PG&E,Fuse failure - all,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Wire-to-wire contact,,,,,,,,
Vegetation,Agriculture,0.26-9.99,Cal Fire,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,N,Wire-to-wire contact,,,,,,,,
Vegetation,Urban,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Urban,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Other,Weather - High Winds,,,,,
Other,Agriculture,<3 meters of linear travel,Customer,12000,Voltage Regulator,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor - Primary,,Weather - High Winds,,,,,
